Date;Side;Win/Lose;Player;Lane;Hero;Ban Hero;Spell;Team;Opponent;Game 1 - 3;Kill;Death;Assist;Duration;Map;Bracket
14/07/2026;Blue;Lose;Yui;Midlane;Faramis;Phoveus;Purify;Geekay Esports FE;Geltek Cyber Team;0 - 2;1;6;9;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Nephyria;Goldlane;Harith;Nolan;Purify;Geekay Esports FE;Geltek Cyber Team;0 - 2;5;3;6;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Assu;Roam;Hylos;Atlas;Revitalize;Geekay Esports FE;Geltek Cyber Team;0 - 2;2;5;8;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Rafa;Explane;Guinevere;Hirara;Flicker;Virtus.pro MENA;Twisted Minds VN;0 - 1;2;3;2;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Miss Meow;Jungler;Akai;Zhuxin;Retribution;Virtus.pro MENA;Twisted Minds VN;0 - 1;1;2;3;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Livin;Midlane;Gord;Paquito;Flicker;Virtus.pro MENA;Twisted Minds VN;0 - 1;0;2;4;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Lunar;Goldlane;Moskov;Esmeralda;Flicker;Virtus.pro MENA;Twisted Minds VN;0 - 1;2;1;2;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Minun;Roam;Gatot Kaca;Uranus;Revitalize;Virtus.pro MENA;Twisted Minds VN;0 - 1;0;3;5;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;Daisy;Explane;Lapu lapu;Atlas;Flicker;Twisted Minds VN;Virtus.pro MENA;1 - 0;3;1;2;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;Meylane;Jungler;Barats;Freya;Retribution;Twisted Minds VN;Virtus.pro MENA;1 - 0;1;1;6;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;Saa;Midlane;Kagura;Marcel;Flicker;Twisted Minds VN;Virtus.pro MENA;1 - 0;4;2;3;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;Chincaaw;Goldlane;Karrie;Arlott;Purify;Twisted Minds VN;Virtus.pro MENA;1 - 0;3;0;5;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;Kao;Roam;Mathilda;Sora;Purify;Twisted Minds VN;Virtus.pro MENA;1 - 0;0;1;9;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Rafa;Explane;Esmeralda;Hirara;Flicker;Virtus.pro MENA;Twisted Minds VN;0 - 2;4;4;4;19:05;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Miss Meow;Jungler;Baxia;Paquito;Retribution;Virtus.pro MENA;Twisted Minds VN;0 - 2;0;7;6;19:05;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Livin;Midlane;Zhuxin;Khaleed;Flicker;Virtus.pro MENA;Twisted Minds VN;0 - 2;2;4;8;19:05;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Lunar;Goldlane;Karrie;Moskov;Purify;Virtus.pro MENA;Twisted Minds VN;0 - 2;5;3;5;19:05;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Minun;Roam;Rafaela;Granger;Purify;Virtus.pro MENA;Twisted Minds VN;0 - 2;1;6;9;19:05;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Win;Daisy;Explane;Sora;Freya;Flicker;Twisted Minds VN;Virtus.pro MENA;2 - 0;4;3;11;19:05;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Win;Meylane;Jungler;Barats;Marcel;Retribution;Twisted Minds VN;Virtus.pro MENA;2 - 0;5;3;14;19:05;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Win;Saa;Midlane;Yve;Atlas;Flicker;Twisted Minds VN;Virtus.pro MENA;2 - 0;6;1;18;19:05;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Win;Chincaaw;Goldlane;Wanwan;Kalea;Inspire;Twisted Minds VN;Virtus.pro MENA;2 - 0;7;3;10;19:05;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Win;Kao;Roam;Mathilda;Kaja;Flicker;Twisted Minds VN;Virtus.pro MENA;2 - 0;2;2;21;19:05;Expanding Rivers;UB Quarterfinals
15/07/2026;Blue;Lose;Jessica66;Explane;Uranus;Gloo;Revitalize;SAETA;Team Rey Young;0 - 1;0;3;4;21:37;Flying Clouds;UB Semifinals
15/07/2026;Blue;Lose;Zhou;Jungler;Baxia;Atlas;Retribution;SAETA;Team Rey Young;0 - 1;1;5;7;21:37;Flying Clouds;UB Semifinals
15/07/2026;Blue;Lose;Namei;Midlane;Yve;Esmeralda;Flicker;SAETA;Team Rey Young;0 - 1;3;2;6;21:37;Flying Clouds;UB Semifinals
15/07/2026;Blue;Lose;Gaigai;Goldlane;Karrie;Badang;Flicker;SAETA;Team Rey Young;0 - 1;6;1;4;21:37;Flying Clouds;UB Semifinals
15/07/2026;Blue;Lose;FanHua;Roam;Gatot Kaca;Lancelot;Revitalize;SAETA;Team Rey Young;0 - 1;0;8;3;21:37;Flying Clouds;UB Semifinals
15/07/2026;Red;Win;Noraa;Explane;Phoveus;Marcel;Flicker;Team Rey Young;SAETA;1 - 0;1;3;10;21:37;Flying Clouds;UB Semifinals
15/07/2026;Red;Win;Tann;Jungler;X Borg;Zhuxin;Retribution;Team Rey Young;SAETA;1 - 0;9;0;9;21:37;Flying Clouds;UB Semifinals
15/07/2026;Red;Win;Mikuu;Midlane;Lylia;Hirara;Flicker;Team Rey Young;SAETA;1 - 0;4;2;14;21:37;Flying Clouds;UB Semifinals
15/07/2026;Red;Win;Qu1nn;Goldlane;Claude;Benedetta;Flicker;Team Rey Young;SAETA;1 - 0;3;3;4;21:37;Flying Clouds;UB Semifinals
15/07/2026;Red;Win;Qiiboyyy;Roam;Belerick;Alice;Revitalize;Team Rey Young;SAETA;1 - 0;2;2;14;21:37;Flying Clouds;UB Semifinals
15/07/2026;Red;Lose;Jessica66;Explane;Phoveus;Atlas;Flicker;SAETA;Team Rey Young;0 - 2;2;3;3;20:28;Dangerous Grass;UB Semifinals
15/07/2026;Red;Lose;Zhou;Jungler;Yi Sunshin;Gloo;Retribution;SAETA;Team Rey Young;0 - 2;0;4;4;20:28;Dangerous Grass;UB Semifinals
15/07/2026;Red;Lose;Namei;Midlane;Yve;Lylia;Flicker;SAETA;Team Rey Young;0 - 2;2;2;4;20:28;Dangerous Grass;UB Semifinals
15/07/2026;Red;Lose;Gaigai;Goldlane;Claude;Belerick;Flicker;SAETA;Team Rey Young;0 - 2;2;3;2;20:28;Dangerous Grass;UB Semifinals
15/07/2026;Red;Lose;FanHua;Roam;Khaleed;Kaja;Flicker;SAETA;Team Rey Young;0 - 2;0;5;6;20:28;Dangerous Grass;UB Semifinals
15/07/2026;Blue;Win;Noraa;Explane;Esmeralda;Hirara;Purify;Team Rey Young;SAETA;2 - 0;1;0;9;20:28;Dangerous Grass;UB Semifinals
15/07/2026;Blue;Win;Tann;Jungler;Nolan;Marcel;Retribution;Team Rey Young;SAETA;2 - 0;4;0;4;20:28;Dangerous Grass;UB Semifinals
